Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Matterhorn Paradise - Zermatt - Trockener Steg,Switzerland,Zermatt,64,11.8,1,"2,000,000",35.95,2,0,0,1,84649.9399,1
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,40,8,1,"2,000,000",92.95,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,80,16,1,"2,000,000",143.93,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,40,8,1,"2,000,000",46.48,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,80,16,1,"2,000,000",71.97,4,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,40,8,1,"2,000,000",46.48,2,0,1,1,84649.9399,1
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,80,16,1,"2,000,000",71.97,2,0,0,1,84649.9399,1
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,50,9,1,"2,000,000",133.46,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,100,18,1,"2,000,000",202.44,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,50,9,1,"2,000,000",66.72,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,100,18,1,"2,000,000",101.22,4,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,50,9,1,"2,000,000",66.72,2,0,1,1,84649.9399,1
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,100,18,1,"2,000,000",101.22,2,0,0,1,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,0,"2,000,000",19.49,2,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,0,"2,000,000",28.49,2,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,0,"2,000,000",9.75,0,0,1,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,10,1.6,0,"2,000,000",14.25,4,0,0,0,84649.9399,1
Matterhorn Paradise - Zermatt - Furi,Switzerland,Zermatt,5,0.8,0,"2,000,000",9.75,2,0,1,1,84649.9399,1
